,Date,Close,Volume, RSI,RSI Condition,MACD Condition,EMA Condition,Close-EMA200 Price Diff,BB Condition, ATR,Trend,Forecasted,Slope,Acceleration,Price Relative Close-EMA200 Price Diff,Price Relative ATR,future_price1,future_price3,future_price5,future_price10,future_price15,future_price30,future_price1 P/L,future_price1 % P/L,future_price3 P/L,future_price3 % P/L,future_price5 P/L,future_price5 % P/L,future_price10 P/L,future_price10 % P/L,future_price15 P/L,future_price15 % P/L,future_price30 P/L,future_price30 % P/L
219,Dec 22 2020,1866.6,233,50.657035732418166,0.0,0,0,60.3824097992474,0,31.032327442026535,1,1899.5593406593396,2.045054945054799,0.4597922956164729,0.032348874852270115,1.662505488161713,1879.2,1887.2,1852.3,1870.8,1814.1,1950.3,12.600000000000136,0.006750241080038646,20.600000000000136,0.01103610843244409,-14.299999999999955,-0.0076609878924247055,4.2000000000000455,0.002250080360012882,-52.5,-0.02812600450016072,83.70000000000005,0.044840887174541974
220,Dec 21 2020,1879.2,136,53.592587509180724,0.0,0,1,72.25621666691677,0,31.772875481881787,1,1892.7406593406604,0.8920879120879998,0.29987972467094126,0.038450519724838636,1.6907660430971576,1885.7,1856.1,1828.7,1861.8,1775.7,1945.3,6.5,0.0034589186888037463,-23.100000000000136,-0.012292464878671848,-50.5,-0.02687313750532141,-17.40000000000009,-0.009259259259259307,-103.5,-0.05507662835249042,66.09999999999991,0.035174542358450356
221,Dec 18 2020,1885.7,276,55.0773512693853,0.0,0,1,77.97257271998228,0,30.23909866174737,1,1885.0538461538458,-0.5404395604396481,0.07095133437991466,0.04134940484699702,1.6036007138859505,1887.2,1852.3,1839.8,1835.9,1805.7,1894.6,1.5,0.0007954605716709974,-33.40000000000009,-0.01771225539587426,-45.90000000000009,-0.02434109349313257,-49.799999999999955,-0.02640929097947709,-80.0,-0.0424245638224532,8.899999999999864,0.004719732725247846
222,Dec 17 2020,1887.2,414,55.431722486253946,0.0,0,1,78.6818008521218,0,29.6505916144797,1,1877.5626373626385,-1.8973626373625203,-0.18454969206616795,0.04169234890426123,1.5711419888978222,1856.1,1828.7,1833.6,1836.8,1804.8,1908.5,-31.100000000000136,-0.016479440440864846,-58.5,-0.030998304366256887,-53.600000000000136,-0.028401865197117494,-50.40000000000009,-0.026706231454005983,-82.40000000000009,-0.043662568885120864,21.299999999999955,0.011286562102585817
223,Dec 16 2020,1856.1,1090,47.13038800263972,0.0,0,0,47.108350097374114,0,30.15412078487401,1,1857.220879120879,-4.81912087912085,-0.5314831542084227,0.02538028667494969,1.624595699847746,1852.3,1839.8,1834.6,1825.7,1837.8,1890.4,-3.7999999999999545,-0.0020473034858035422,-16.299999999999955,-0.008781854425946855,-21.5,-0.011583427617046496,-30.399999999999864,-0.01637842788642846,-18.299999999999955,-0.009859382576369783,34.30000000000018,0.018479607779753344
224,Dec 15 2020,1852.3,961,46.219587019608845,0.0,0,0,42.877421240683816,0,29.63596930024014,1,1848.8175824175814,-5.368131868132014,-0.8260113512860775,0.023148205604213042,1.5999551530659257,1828.7,1833.6,1870.8,1814.1,1872.6,1877.4,-23.59999999999991,-0.012740916698158997,-18.700000000000045,-0.010095556875236217,18.5,0.009987583004912811,-38.200000000000045,-0.020623009231765937,20.299999999999955,0.010959347837823222,25.100000000000136,0.013550720725584482
225,Dec 14 2020,1828.7,258,40.929400885345274,0.0,0,0,19.085606103960572,0,29.633400064508695,1,1834.6999999999985,-6.5057142857144905,-1.0842357203236437,0.010436707007141999,1.6204626272493405,1839.8,1834.6,1861.8,1775.7,1861.1,1865.6,11.099999999999909,0.006069885711160884,5.899999999999864,0.003226335648274656,33.09999999999991,0.018100289823371744,-53.0,-0.028982337179417072,32.399999999999864,0.01771750423798319,36.899999999999864,0.020178268715480868
226,Dec 11 2020,1839.8,109,44.16635492395175,0.0,0,0,29.885251814368758,0,28.752442917043787,1,1834.3846153846146,-5.472527472527619,-1.1932148291269298,0.016243750306755494,1.5628026370824974,1833.6,1870.8,1835.9,1805.7,1873.5,1876.2,-6.2000000000000455,-0.0033699315142950567,31.0,0.01684965757147516,-3.8999999999998636,-0.002119795629959704,-34.09999999999991,-0.018534623328622626,33.700000000000045,0.01831720839221657,36.40000000000009,0.01978475921295798
227,Dec 10 2020,1833.6,177,42.75698303523471,0.0,0,0,23.449577666962114,0,28.205839851540652,1,1834.613186813187,-4.383956043956014,-1.1628044922110923,0.012788818535646878,1.5382766062140407,1834.6,1861.8,1836.8,1804.8,1884.5,1908.8,1.0,0.0005453752181500873,28.200000000000045,0.015379581151832486,3.2000000000000455,0.0017452006980803042,-28.799999999999955,-0.015706806282722488,50.90000000000009,0.027759598603839492,75.20000000000005,0.04101221640488659
228,Dec 09 2020,1834.6,215,43.0725191013823,0.0,0,0,24.20629828719143,0,29.055422719287744,1,1829.7175824175804,-4.479560439560703,-1.0838816568047478,0.01319431935418698,1.5837470140241876,1870.8,1835.9,1825.7,1837.8,1887.3,1902.7,36.200000000000045,0.019731821650496046,1.300000000000182,0.0007086013299902878,-8.899999999999864,-0.004851193720701986,3.2000000000000455,0.0017442494276681815,52.700000000000045,0.02872560776190998,68.10000000000014,0.037119808132563034
