Date, Open, High, Low, Close
12/07/20, 2842.58, 2853.23, 2824.23, 2825.51
12/04/20, 2825.56, 2841.46, 2819.53, 2839.89
12/03/20, 2809.74, 2822.40, 2792.74, 2822.34
12/02/20, 2805.50, 2817.33, 2796.71, 2810.95
12/01/20, 2802.94, 2824.54, 2793.22, 2814.12
11/30/20, 2869.89, 2869.89, 2797.19, 2805.95
11/27/20, 2846.95, 2866.34, 2845.16, 2855.82
11/26/20, 2856.37, 2857.48, 2839.80, 2857.48
11/25/20, 2903.16, 2920.55, 2858.36, 2869.55
11/24/20, 2866.12, 2891.63, 2864.42, 2891.63
11/23/20, 2828.32, 2852.27, 2825.83, 2848.78
11/20/20, 2780.77, 2814.13, 2779.21, 2813.01
11/19/20, 2782.22, 2795.06, 2766.55, 2777.00
11/18/20, 2774.78, 2795.67, 2774.78, 2788.59
11/17/20, 2764.13, 2781.58, 2764.13, 2778.55
11/16/20, 2731.56, 2753.44, 2724.93, 2748.00
11/13/20, 2700.72, 2715.92, 2685.81, 2711.39
11/12/20, 2710.71, 2725.47, 2695.89, 2711.90
11/11/20, 2698.69, 2713.28, 2673.89, 2713.28
11/10/20, 2672.98, 2705.00, 2662.32, 2705.00
11/09/20, 2600.96, 2622.98, 2600.67, 2609.36
11/06/20, 2591.96, 2591.96, 2562.86, 2578.68
11/05/20, 2543.91, 2588.62, 2541.76, 2588.62
11/04/20, 2502.18, 2521.14, 2489.72, 2515.98
11/03/20, 2453.29, 2497.22, 2453.26, 2497.22
11/02/20, 2428.98, 2449.02, 2423.70, 2443.13
10/30/20, 2423.84, 2447.85, 2420.84, 2423.84
10/29/20, 2450.68, 2472.92, 2450.68, 2450.68
10/28/20, 2483.48, 2507.89, 2483.48, 2483.48
10/27/20, 2515.33, 2519.00, 2503.37, 2512.87
10/26/20, 2540.86, 2541.74, 2521.19, 2523.31
10/23/20, 2537.05, 2537.39, 2537.39, 2537.39
10/22/20, 2518.75, 2530.76, 2513.52, 2528.41
10/21/20, 2525.61, 2545.52, 2521.70, 2525.61
10/20/20, 2542.08, 2542.39, 2523.21, 2528.64
10/19/20, 2540.55, 2549.52, 2537.31, 2543.57
10/16/20, 2530.38, 2533.02, 2533.02, 2533.02
10/15/20, 2543.34, 2523.62, 2523.62, 2523.62
10/14/20, 2562.44, 2555.59, 2555.59, 2555.59
10/13/20, 2556.40, 2570.19, 2547.12, 2567.65
10/12/20, 2552.42, 2555.93, 2534.37, 2552.42
10/09/20, 2547.94, 2547.97, 2532.41, 2532.96
10/08/20, 2545.42, 2543.11, 2543.11, 2543.11
10/07/20, 2523.19, 2538.36, 2538.36, 2538.36
10/06/20, 2525.70, 2540.71, 2525.69, 2529.26
10/05/20, 2512.91, 2522.40, 2504.89, 2517.23
10/02/20, 2500.34, 2496.11, 2496.11, 2496.11
10/01/20, 2479.29, 2504.12, 2477.09, 2500.74
09/30/20, 2466.62, 2489.17, 2465.45, 2466.62
09/29/20, 2496.77, 2471.61, 2471.61, 2471.61
09/28/20, 2483.01, 2494.16, 2471.07, 2483.01
09/25/20, 2458.38, 2474.12, 2457.26, 2472.28
09/24/20, 2467.15, 2450.82, 2450.82, 2450.82
09/23/20, 2463.95, 2481.14, 2481.14, 2481.14
09/22/20, 2463.29, 2481.77, 2455.33, 2463.29
09/21/20, 2499.39, 2515.05, 2481.66, 2485.71
09/18/20, 2497.71, 2506.92, 2492.76, 2497.71
09/17/20, 2503.54, 2500.78, 2500.78, 2500.78
09/16/20, 2505.15, 2508.16, 2488.09, 2505.15
09/15/20, 2486.70, 2502.10, 2482.91, 2485.83
09/14/20, 2489.68, 2482.55, 2482.55, 2482.55
09/11/20, 2490.09, 2492.42, 2476.82, 2490.09
09/10/20, 2507.64, 2492.09, 2492.09, 2492.09
09/09/20, 2499.33, 2505.41, 2478.11, 2499.33
09/08/20, 2515.26, 2504.76, 2504.76, 2504.76
09/07/20, 2506.18, 2511.21, 2511.21, 2511.21
09/04/20, 2494.42, 2509.64, 2509.64, 2509.64
09/03/20, 2546.01, 2546.87, 2519.13, 2531.79
09/02/20, 2540.65, 2539.94, 2539.94, 2539.94
09/01/20, 2521.81, 2544.00, 2508.68, 2538.55
08/31/20, 2557.44, 2560.43, 2523.34, 2532.51
08/28/20, 2547.71, 2573.49, 2532.41, 2539.63
08/27/20, 2539.98, 2545.79, 2517.07, 2519.81
08/26/20, 2548.28, 2548.57, 2528.94, 2542.08
08/25/20, 2544.61, 2575.37, 2542.19, 2559.03
08/24/20, 2535.69, 2544.21, 2526.51, 2538.61
08/21/20, 2528.54, 2547.83, 2526.27, 2528.54
08/20/20, 2537.11, 2545.07, 2506.77, 2527.92
08/19/20, 2561.04, 2567.21, 2555.44, 2561.04
08/18/20, 2574.82, 2579.36, 2557.94, 2563.09
08/17/20, 2580.56, 2596.81, 2565.02, 2571.55
08/14/20, 2584.50, 2600.05, 2572.64, 2581.32
08/13/20, 2574.80, 2602.33, 2568.10, 2595.97
08/12/20, 2530.75, 2563.79, 2521.06, 2563.20
08/11/20, 2547.52, 2559.76, 2522.80, 2544.15
08/07/20, 2558.30, 2558.96, 2529.35, 2545.51
08/06/20, 2551.03, 2559.10, 2559.10, 2559.10
08/05/20, 2527.31, 2549.07, 2513.16, 2532.69
08/04/20, 2495.13, 2523.78, 2491.39, 2515.70
